0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:34 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:34 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:34 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:34 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:34 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16154
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:18:42 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:03 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 12335
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:03 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:03 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:04 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:04 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:28 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:28 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:28 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:28 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:28 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16154
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:10:35 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:11:05 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:11:05 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:11:05 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:11:05 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:11:05 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:01 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10509
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:01 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:01 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:01 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:01 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:13:04 +0530] "GET /Cake_Shop/addAddress.jsp HTTP/1.1" 500 2521
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:14:06 +0530] "GET /Cake_Shop/addAddress.jsp HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [06/Apr/2025:14:14:23 +0530] "GET /Cake_Shop/addAddress.jsp HTTP/1.1" 200 6366
